ID	Word	Definition	Class	Register	CEFR Level	IPA	Image	Example	Cambridge Examples	Audio	Definition Audio	Example Audio	Explanation	Morphology	Etymology	Connected Words	Hint	Tags
attack	attack	"To <span id=""word-in-definition"">attack</span> is to try to fight or to hurt."	verb		B1	/əˈtæk/	"<img src=""attack.jpg"" />"	The man with the sword attacked the other man first.	"• He was attacked and seriously injured by a gang of youths.
<br>• Army forces have been attacking the town since dawn.
<br>• Most wild animals won't attack unless they are provoked."	[sound:oxford_attack.mp3]	[sound:attack_meaning.mp3]	[sound:attack_example.mp3]						English::cefr-B1
cruel	cruel	"When someone is <span id=""word-in-definition"">cruel</span>, they do bad things to hurt others.<br>acımasız, vicdansız"	adjective		B1	/ˈkruː.əl/	"<img src=""cruel.jpg"">"	The cruel man yelled at his sister.	"• Don't tease him about his weight - it's cruel.
<br>• Children can be very cruel to each other."	[sound:oxford_cruel.mp3]	[sound:cruel_meaning.mp3]	[sound:cruel_example.mp3]						English::cefr-B1
promise	promise	"To <span id=""word-in-definition"">promise</span> is to say you will do something for sure."	verb		B1	/ˈprɑː.mɪs/	"<img src=""promise.jpg"">"	He promised to return my key by tomorrow.	"• <span class=""c-grammar-use"">[ + to infinitive ]</span> He promised faithfully to call me every week.
<br>• <span class=""c-grammar-use"">[ + that ]</span> The government have promised that they'll reduce taxes.
<br>• <span class=""c-grammar-use"">[ + (that) ]</span> Promise me (that) you won't tell him.
<br>• I'll look for some while I'm at the shops but I'm not promising anything.
<br>• Can I have that book back when you've finished because I've promised it (= I have said I will give it) to Sara.
<br>• <span class=""c-grammar-use"">[ + two objects ]</span> Her parents promised her a new car if she passed her exams.
<br>• I've promised myself a long bath when I get through all this work.
<br>• <span class=""c-grammar-use"">[ + speech ]</span> ""I'll come round and see you every day,"" she promised.
<br>• ""I won't do anything dangerous."" ""You promise?"" ""I promise.""
<br>• ""I won't have time to take you shopping this afternoon."" ""But you promised!"""	[sound:oxford_promise.mp3]	[sound:promise_meaning.mp3]	[sound:promise_example.mp3]						English::cefr-B1
trick	trick	"A <span id=""word-in-definition"">trick</span> is something you do to fool another person."	noun		B1	/trɪk/	"<img src=""trick.jpg"">"	His card trick really surprised us.	"• She played a really nasty trick on me - she put syrup in my shampoo bottle!
<br>• My niece was showing me all the tricks that she's learned to do with her new magic set.
<br>• It's trick photography - she's supposed to look like she's walking on water."	[sound:oxford_trick.mp3]	[sound:trick_meaning.mp3]	[sound:trick_example.mp3]						English::cefr-B1
approach	approach	"To <span id=""word-in-definition"">approach</span> something means to move close to it."	verb		B1	/əˈproʊtʃ/	"<img src=""approach.jpg"">"	The boy approached his school.	"• We could just see the train approaching in the distance.
<br>• If you look out of the window on the left, you'll see that we're now approaching the Eiffel Tower.
<br>• I see it's approaching lunchtime, so let's take a break.
<br>• In my opinion, no other composers even begin to approach (= come near in quality to) Mozart.
<br>• The total amount raised so far is approaching (= almost) $1,000.
<br>• He's very active for a man approaching 80 (= who is almost 80 years old)."	[sound:oxford_approach.mp3]	[sound:approach_meaning.mp3]	[sound:approach_example.mp3]						English::cefr-B1
chemical	chemical	"A <span id=""word-in-definition"">chemical</span> is a basic substance that is used in or produced by a reaction involving changes to atoms or molecules"	noun		B2	/ˈkem.ɪ.kəl/	"<img src=""chemical.jpg"">"	The scientist mixed the chemicals.	"• The government has pledged to reduce the amount of chemicals used in food production.
<br>• Each year, factories release millions of tons of toxic (= poisonous) chemicals into the atmosphere."	[sound:oxford_chemical.mp3]	[sound:chemical_meaning.mp3]	[sound:chemical_example.mp3]						English::cefr-B2
create	create	"To <span id=""word-in-definition"">create</span> means to make something new."	verb		B1	/kriˈeɪt/	"<img src=""create.jpg"">"	She created an igloo from blocks of snow.	"• Charles Schulz created the characters ""Snoopy"" and ""Charlie Brown"".
<br>• The Bible says that God created the world.
<br>• He created a wonderful meal from very few ingredients.
<br>• It's important to create a good impression when you meet a new client."	[sound:oxford_create.mp3]	[sound:create_meaning.mp3]	[sound:create_example.mp3]						English::cefr-B1
evil	evil	"<span id=""word-in-definition"">evil</span> describes something or someone bad or cruel, not good."	adjective		B2	/ˈiː.vəl/	"<img src=""evil.jpg"">"	The evil figure scared us all.	"• an evil dictator
<br>• These people are just evil."	[sound:oxford_evil.mp3]	[sound:evil_meaning.mp3]	[sound:evil_example.mp3]						English::cefr-B2
experiment	experiment	"An <span id=""word-in-definition"">experiment</span> is a test that you do to see what will happen."	noun		B1	/ɪkˈsper.ə.mənt/	"<img src=""experiment.jpg"">"	The student did an experiment in science class.	"• Some people believe that experiments on animals should be banned.
<br>• <span class=""c-grammar-use"">[ + to infinitive ]</span> Scientists are conducting/carrying out/doing experiments to test the effectiveness of the new drug.
<br>• I've bought a different kind of coffee this week as an experiment (= in order to see what it is like).
<br>• We can only find the best solution by experiment."	[sound:oxford_experiment.mp3]	[sound:experiment_meaning.mp3]	[sound:experiment_example.mp3]						English::cefr-B1
laboratory	laboratory	"A <span id=""word-in-definition"">laboratory</span> is a room where a scientist works."	noun	informal	B1	/ˈlæb.rə.tɔːr.i/	"<img src=""laboratory.jpg"">"	My mother works in a laboratory.		[sound:oxford_laboratory.mp3]	[sound:laboratory_meaning.mp3]	[sound:laboratory_example.mp3]						English::cefr-B1
